City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
590,Mushie,CD,76.17,overcast clouds,-3.0167,16.9,
592,Karwar,IN,78.19,few clouds,14.8,74.1333,Netalco Connects
593,Port Augusta,AU,65.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
594,Irpa Irpa,BO,80.6,overcast clouds,-17.7167,-66.2667,Casa de J
596,Raymondville,US,71.82,broken clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
597,Agustin Codazzi,CO,89.58,broken clouds,10.0341,-73.2361,Hotel perija
599,Ibague,CO,75.06,mist,4.4389,-75.2322,Hotel Lusitania
603,Pachora,IN,71.62,clear sky,20.6667,75.35,Vishal Avinash patil
604,Ayorou,NE,81.54,few clouds,14.7308,0.9174,Hotel Amenokal
605,Broome,US,54.01,mist,42.2506,-75.833,Chenango Valley State Park
606,Jalu,LY,60.6,broken clouds,29.0331,21.5482,صاحبة الفخامة
608,Ngunguru,NZ,67.15,moderate rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
612,Phuket,TH,75.42,few clouds,8.0,98.25,The Surin
613,Geraldton,AU,64.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
615,Salamiyah,SY,55.78,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
617,Valparaiso,CL,65.84,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
619,Southbridge,US,59.38,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
620,Kanniyakumari,IN,79.65,clear sky,8.0833,77.5667,Sparsa
621,Nanchang,CN,54.43,broken clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
622,Ladario,BR,82.69,light rain,-19.0047,-57.6017,Hotel Fazenda 4 cantos
623,Zlitan,LY,61.16,few clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
625,San Rafael Del Sur,NI,83.37,clear sky,11.8485,-86.4384,Hospedaje El Chino
627,Narok,KE,61.11,broken clouds,-1.0783,35.8601,OLORROPIL TOWERS
631,Bandarbeyla,SO,77.54,clear sky,9.4942,50.8122,JABIR HOTEL
632,Westport,US,58.55,overcast clouds,41.1415,-73.3579,Norwalk Inn
635,Richards Bay,ZA,77.4,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
636,Hueyapan,MX,70.81,broken clouds,18.8667,-98.6667,
637,Inirida,CO,86.18,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
638,Goulburn,AU,45.64,broken clouds,-34.75,149.7167,Alpine Heritage Motel
639,Havelock,US,79.05,broken clouds,34.8791,-76.9013,Sherwood Motel
640,Tocopilla,CL,70.0,clear sky,-22.092,-70.1979,Hotel Galvarino
642,Bridgetown,BB,84.69,broken clouds,13.1,-59.6167,Hilton Barbados Resort
643,Umm Lajj,SA,77.0,overcast clouds,25.0213,37.2685,Moon light Furnished Units
644,Redlands,US,61.12,few clouds,34.0556,-117.1825,Dynasty Suites Redlands
645,Fuling,CN,51.66,overcast clouds,29.7022,107.3919,Yingbin Hostel
646,Pafos,CY,64.31,clear sky,34.7667,32.4167,Elysium Hotel
649,Jawa,JO,56.98,haze,31.8525,35.9393,المجد للشقق الفندقية
650,Newport,GB,54.45,overcast clouds,51.5877,-2.9984,ibis budget Newport
651,Carutapera,BR,86.76,overcast clouds,-1.195,-46.02,Lidera
653,Fairmont,US,62.76,light rain,39.4851,-80.1426,Clarion Inn
654,Bom Jesus,BR,81.95,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
656,Shelburne,CA,59.67,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
657,Iquique,CL,69.84,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
658,Kidal,ML,76.82,overcast clouds,18.4411,1.4078,
659,Lang Suan,TH,75.43,scattered clouds,9.9456,99.0785,Langsuan Resort
661,Bosaso,SO,77.65,few clouds,11.2842,49.1816,Red Sea Hotel
663,Gorontalo,ID,76.08,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
664,Kharan,PK,56.12,broken clouds,28.5833,65.4167,Dil Aram Bangla
665,Lodwar,KE,85.03,clear sky,3.1191,35.5973,Solmar Gracious Hotel
666,Talcahuano,CL,56.91,broken clouds,-36.7167,-73.1167,departamento comodo
668,Japura,ID,73.72,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
669,Flinders,AU,60.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
671,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
672,Adrar,MR,73.54,broken clouds,20.5022,-10.0711,
673,Pangoa,PE,87.89,overcast clouds,-12.1167,-73.0,
674,Harper,LR,81.43,overcast clouds,4.375,-7.7169,Screensaver
675,Huarmey,PE,72.39,scattered clouds,-10.0681,-78.1522,Hotel Miramar
676,Zorya,UA,48.63,broken clouds,45.9908,29.6967,Tov Transportnyk 1718
677,Poya,NC,79.34,overcast clouds,-21.35,165.15,
679,Vestmannaeyjar,IS,45.59,broken clouds,63.4427,-20.2734,Glamping & Camping
686,Makungu,TZ,64.96,light rain,-8.7333,35.2833,Complex
687,Vwawa,TZ,68.47,overcast clouds,-9.1167,32.9333,Vwawa Secondary School's Hostels
688,Vila Franca Do Campo,PT,69.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
689,Marzuq,YE,61.23,clear sky,14.4,46.4667,
691,Umm Kaddadah,SD,71.78,few clouds,13.6017,26.6876,
692,Harsud,IN,64.92,clear sky,22.1,76.7333,Tortoise Tapu (Anay)
693,Thabazimbi,ZA,81.86,overcast clouds,-24.5917,27.4116,Eagle's Rest
695,Chapar,IN,60.57,clear sky,26.2667,90.4667,Julfi Home
697,Uwajima,JP,52.77,few clouds,33.2238,132.56,Uwajima Oriental Hotel
698,Camana,PE,72.34,overcast clouds,-16.6228,-72.7111,Hostal Morales
