City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
410,Hokitika,NZ,-42.7167,170.9667,57.33,84,100,7.4,moderate rain
411,Emerald,AU,-23.5333,148.1667,72.99,72,75,5.75,broken clouds
412,Osa,RU,57.2829,55.4567,1.51,98,32,3.71,scattered clouds
413,Gushikawa,JP,26.3544,127.8686,65.43,94,1,5.75,clear sky
414,Bontang,ID,0.1333,117.5,77.04,90,88,7.38,overcast clouds
415,Outjo,NA,-20.1167,16.15,75.63,48,72,14.03,light rain
416,Shangrao,CN,28.4532,117.9686,55.74,82,4,0.43,clear sky
417,Kirakira,SB,-10.4544,161.9205,81.1,86,100,9.04,light rain
418,Djambala,CG,-2.5447,14.7533,71.28,86,94,2.3,light rain
419,Lambare,PY,-25.3468,-57.6065,94.59,38,75,5.75,broken clouds
420,Uruacu,BR,-14.5247,-49.1408,81.09,75,100,6.31,light rain
421,Shimoda,JP,34.6667,138.95,50.11,72,23,6.24,few clouds
422,Warri,NG,5.5167,5.75,82.62,71,49,8.46,scattered clouds
423,Deputatskiy,RU,69.3,139.9,-24.07,100,99,1.81,overcast clouds
424,Erdenet,MN,49.0333,104.0833,2.07,73,10,3.65,clear sky
425,Gouyave,GD,12.1646,-61.7296,86.77,62,20,13.8,few clouds
426,Brae,GB,60.3964,-1.353,46.31,92,100,26.42,overcast clouds
427,Malindi,KE,-3.2175,40.1191,82.56,74,40,14.97,light rain
428,Tokur,RU,53.1333,132.9,1.17,98,100,3.24,overcast clouds
429,Rae Bareli,IN,26.2167,81.2333,57.33,51,0,5.59,clear sky
430,Lavrentiya,RU,65.5833,-171.0,-14.31,86,73,8.48,broken clouds
431,Mackenzie,CA,55.2999,-123.1698,12.42,92,75,3.44,broken clouds
432,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,27.25,96,100,11.05,light snow
433,Rio Branco,BR,-9.9747,-67.81,86.61,70,75,5.75,broken clouds
434,Naze,JP,28.3667,129.4833,63.19,61,57,3.91,broken clouds
435,Seoul,KR,37.5683,126.9778,40.51,93,75,4.61,mist
436,Qixingtai,CN,30.4135,111.8874,49.08,81,100,4.83,overcast clouds
437,Rio Grande,BR,-32.035,-52.0986,80.71,63,44,11.43,scattered clouds
438,Saldanha,ZA,-33.0117,17.9442,71.65,79,73,6.24,broken clouds
439,Bushehr,IR,28.9684,50.8385,68.09,60,0,16.11,clear sky
440,Hrubieszow,PL,50.805,23.8925,32.07,99,100,1.05,overcast clouds
441,Udachnyy,RU,66.4167,112.4,-42.41,100,97,2.44,overcast clouds
442,Arkansas City,US,37.062,-97.0384,42.62,60,1,5.75,clear sky
443,Hervey Bay,AU,-25.2986,152.8535,73.04,73,44,15.61,scattered clouds
444,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,75,12.66,broken clouds
445,Gwadar,PK,25.1216,62.3254,72.46,55,37,10.33,scattered clouds
446,Bafra,TR,41.5678,35.9069,57.31,63,99,6.78,overcast clouds
447,Axim,GH,4.8699,-2.2405,81.19,78,77,8.5,broken clouds
448,Samut Prakan,TH,13.5,100.45,80.01,55,12,8.95,few clouds
449,Carbonia,IT,39.1672,8.5222,50.0,68,38,15.41,scattered clouds
450,Fort Saint James,CA,54.4333,-124.25,25.21,74,87,5.03,overcast clouds
451,Paamiut,GL,61.994,-49.6678,22.3,95,100,15.03,light snow
452,Trogir,HR,43.5125,16.2517,48.25,46,0,24.16,clear sky
453,Marystown,CA,47.1666,-55.1483,39.85,100,100,13.31,overcast clouds
