City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,San Patricio,28.017,-97.5169,89.58,57,23,25.1,US,2021-12-10 18:05:45
67,Camacha,33.0833,-16.3333,62.53,68,40,18.41,PT,2021-12-10 18:05:46
68,Matara,5.9485,80.5353,76.08,88,88,8.86,LK,2021-12-10 18:05:46
69,Carnarvon,-24.8667,113.6333,71.67,73,0,19.57,AU,2021-12-10 18:05:46
70,Mount Isa,-20.7333,139.5,69.57,17,0,6.91,AU,2021-12-10 18:05:47
71,Berberati,4.2612,15.7922,79.09,36,25,2.48,CF,2021-12-10 18:05:47
72,Narsaq,60.9167,-46.05,35.82,61,100,10.49,GL,2021-12-10 18:05:47
73,Avera,33.194,-82.5271,55.06,93,100,4.7,US,2021-12-10 18:05:48
74,Lethem,3.3803,-59.7968,91.54,47,100,8.57,GY,2021-12-10 18:05:48
75,Mount Gambier,-37.8333,140.7667,51.42,75,79,7.67,AU,2021-12-10 18:05:49
76,Lavrentiya,65.5833,-171.0,-11.02,81,92,9.24,RU,2021-12-10 18:05:49
77,Pevek,69.7008,170.3133,-28.35,98,100,3.51,RU,2021-12-10 18:05:50
78,Yulara,-25.2406,130.9889,71.44,24,3,8.05,AU,2021-12-10 18:05:50
79,Hermanus,-34.4187,19.2345,65.89,88,55,11.34,ZA,2021-12-10 18:01:34
80,Kruisfontein,-34.0033,24.7314,71.89,89,35,1.88,ZA,2021-12-10 18:05:50
81,Vestnes,62.6264,7.0884,36.12,68,0,9.22,NO,2021-12-10 18:05:51
82,Khatanga,71.9667,102.5,-34.49,100,100,5.23,RU,2021-12-10 18:05:51
83,Tiksi,71.6872,128.8694,-4.45,91,100,10.87,RU,2021-12-10 18:05:51
84,Guerrero Negro,27.9769,-114.0611,65.39,66,49,15.23,MX,2021-12-10 18:05:52
85,Baykit,61.67,96.37,-21.3,100,58,2.55,RU,2021-12-10 18:05:52
86,Bairiki,1.3292,172.9752,80.6,83,75,10.36,KI,2021-12-10 18:05:52
87,Hongjiang,27.11,109.9956,55.81,80,100,2.91,CN,2021-12-10 18:05:53
88,Castro,-24.7911,-50.0119,78.12,37,0,6.4,BR,2021-12-10 18:05:53
89,Hobart,-42.8794,147.3294,53.46,85,90,1.01,AU,2021-12-10 18:05:54
90,Bathsheba,13.2167,-59.5167,84.81,61,40,19.57,BB,2021-12-10 18:06:54
91,Warmbad,-28.45,18.7333,77.7,19,0,20.54,NA,2021-12-10 18:06:54
92,Necochea,-38.5473,-58.7368,75.04,66,100,7.11,AR,2021-12-10 18:06:55
93,Itoman,26.1247,127.6694,68.02,68,75,2.3,JP,2021-12-10 18:06:55
94,Asau,46.4333,26.4,40.28,85,100,2.53,RO,2021-12-10 18:06:55
95,Belaya Gora,68.5333,146.4167,-46.3,99,88,2.57,RU,2021-12-10 18:06:50
96,Teopantlan,18.7167,-98.2667,80.24,30,34,5.95,MX,2021-12-10 18:06:56
97,Puerto Escondido,15.85,-97.0667,86.07,63,11,7.52,MX,2021-12-10 18:02:10
98,Bethel,41.3712,-73.414,52.38,66,75,6.91,US,2021-12-10 18:06:56
99,Cooma,-36.2333,149.1333,46.17,100,90,14.97,AU,2021-12-10 18:06:57
100,Baruun-Urt,46.6806,113.2792,12.54,90,100,8.97,MN,2021-12-10 18:06:57
101,Chaihe,44.7667,129.7,17.58,89,28,5.12,CN,2021-12-10 18:06:57
102,Meulaboh,4.1363,96.1285,77.56,85,92,2.82,ID,2021-12-10 18:06:58
103,Kenai,60.5544,-151.2583,25.14,93,90,9.22,US,2021-12-10 18:02:47
104,Mahebourg,-20.4081,57.7,78.26,70,81,11.88,MU,2021-12-10 18:06:58
105,Bijie,27.3125,105.2942,41.74,94,100,5.35,CN,2021-12-10 18:06:59
106,Arraial Do Cabo,-22.9661,-42.0278,78.66,65,20,12.66,BR,2021-12-10 18:06:59
107,Ornskoldsvik,63.2909,18.7153,32.95,100,90,8.05,SE,2021-12-10 18:06:34
108,Araouane,18.9048,-3.5265,75.11,9,100,9.51,ML,2021-12-10 18:06:59
109,Weiser,44.251,-116.9693,34.0,79,52,3.76,US,2021-12-10 18:07:00
110,Cabo San Lucas,22.8909,-109.9124,81.52,56,75,3.0,MX,2021-12-10 18:03:56
111,Torbay,47.6666,-52.7314,27.75,76,79,10.0,CA,2021-12-10 18:05:28
112,Indramayu,-6.3264,108.32,80.53,80,97,8.41,ID,2021-12-10 18:07:00
113,Waipawa,-41.4122,175.5153,63.45,76,99,9.64,NZ,2021-12-10 18:07:01
114,Namibe,-15.1961,12.1522,72.46,67,34,13.53,AO,2021-12-10 18:07:01
115,Cayenne,4.9333,-52.3333,82.44,88,75,1.01,GF,2021-12-10 18:07:01
116,Uji,34.8833,135.8,50.09,86,12,1.95,JP,2021-12-10 18:07:02
117,Pisco,-13.7,-76.2167,73.02,73,75,10.36,PE,2021-12-10 18:07:02
118,Ahipara,-35.1667,173.1667,63.61,95,76,5.57,NZ,2021-12-10 18:07:02
119,Esperance,-33.8667,121.9,62.98,83,2,12.24,AU,2021-12-10 18:07:03
120,Tual,-5.6667,132.75,83.88,76,100,17.67,ID,2021-12-10 18:07:03
121,Vaitape,-16.5167,-151.75,81.23,69,69,14.45,PF,2021-12-10 18:07:04
122,Okhotsk,59.3833,143.3,-12.55,86,1,9.35,RU,2021-12-10 18:07:04
123,New Norfolk,-42.7826,147.0587,53.1,78,64,1.45,AU,2021-12-10 18:07:04
124,Richards Bay,-28.783,32.0377,76.86,85,25,12.91,ZA,2021-12-10 18:07:05
125,East London,-33.0153,27.9116,76.14,78,75,6.91,ZA,2021-12-10 18:07:05
126,Santiago,-33.4569,-70.6483,79.18,34,0,9.28,CL,2021-12-10 18:02:25
127,Atambua,-9.1061,124.8925,75.49,84,98,2.64,ID,2021-12-10 18:07:05
128,Trairi,-3.2778,-39.2689,86.77,58,88,12.95,BR,2021-12-10 18:06:20
129,Lompoc,34.6391,-120.4579,59.41,66,1,9.22,US,2021-12-10 18:03:24
130,Berezovyy,51.6667,135.7,19.9,97,100,2.26,RU,2021-12-10 18:07:06
131,Arak,34.0917,49.6892,43.74,57,0,1.63,IR,2021-12-10 18:07:06
132,Vieques,18.425,-65.8329,86.67,65,40,8.05,PR,2021-12-10 18:07:07
133,Kavieng,-2.5744,150.7967,82.29,81,100,12.17,PG,2021-12-10 18:07:07
134,Ponta Do Sol,32.6667,-17.1,67.71,76,18,9.35,PT,2021-12-10 18:07:07
